tab	subtab	mainitem	showoption1	showoption2	showoption3	itemname	option1	option2	option3	option4	option5	option6	option7	option8	option9	sale/new
1	1	84	7417100	0	0	SuperHero	0	0	0	0	0	0	39059456	16842752	7417100	2
1	1	1	7417200	0	0	CausticRevenant	0	0	0	0	0	0	65536	16842752	7417200	0
1	1	1	7413601	0	0	Calavera-Night	0	0	0	0	0	0	65536	16842752	7413601	0
1	1	1	7418001	7418002	7418003	NegativeBlock	0	0	0	0	0	0	65536	16842752	7418000	0
1	1	1	7412112	7412113	7412114	BloodyJack	0	0	0	0	0	0	65536	16842752	7412111	0
1	1	1	3044611	3044612	3044613	MetoWing	0	0	0	0	0	0	65536	16842752	3044610	0
1	1	1	3042111	3042112	3042113	ManaWing(Blue)	0	0	0	0	0	0	65536	16842752	3042110	0
1	1	1	3042121	3042122	3042123	ManaWing(Red)	0	0	0	0	0	0	65536	16842752	3042120	0
1	1	1	3042132	3042133	3042134	ManaWing{Black)	0	0	0	0	0	0	65536	16842752	3042131	0
1	1	1	3070401	3070404	3070407	AllStars	0	0	0	0	0	0	65536	16842752	3070400	0
1	1	0	3080401	3080404	3080407	Valor	3653566510	3653632046	3653697582	3653763118	3653828654	46	0	16842752	3080400	0
1	1	0	7414701	7414704	7414707	Panda	13959215	14024751	14090287	14155823	14221359	47	0	16842752	7414700	0
1	1	0	7415801	7415804	7415807	MechSongoku	598802545	598868081	598933617	598999153	599064689	113	0	16842752	7415800	0
1	1	0	8014201	8014204	8014207	SongokuJr.	670892145	670957681	671023217	671088753	671154289	113	0	16842752	8014200	0
1	1	0	3044001	3044004	3044007	SongokuCloudWings	1232928890	1232994426	1233059962	1233125498	1233191034	122	0	16842752	3044000	0
1	1	0	7417001	7417004	7417007	GoldLion	1923416110	1923481646	1923547182	1923612718	1923678254	46	0	16842752	7417000	0
1	1	0	3045401	3045404	3045407	GoldAngelWings	749535345	749600881	749666417	749731953	749797489	113	0	16842752	3045400	0
1	1	0	4052101	4052104	4052107	MiniTank	2015166510	2015232046	2015297582	2015363118	2015428654	46	0	16842752	4052100	0
1	1	0	3022801	3022804	0	DoubleBeam	0	0	0	0	0	0	0	16842752	3022800	0
1	1	0	5010200	0	0	Transform-Coupon	0	0	0	0	0	0	0	16842752	5010200	0
1	1	0	7416001	7416004	7416007	Igor	0	0	0	0	0	0	0	16842752	7416000	0
1	1	0	8012401	8012404	8012407	Crawlie	683999345	684064881	684130417	684195953	684261489	113	0	16842752	8012400	0
1	1	0	3022401	3022404	0	Light	1114964090	1115029626	1115095162	1115160698	1115226234	122	0	16842752	3022400	0
1	1	0	3042601	3042604	3042607	Titan	0	0	0	0	0	0	0	16842752	3042600	0
1	1	0	4040503	4040502	4040504	DigiDragon	1831665710	1831731246	1831796782	1831862318	1831927854	46	0	16842752	4040500	0
1	1	0	4040203	4040202	4040204	Dark-Knight	61	0	0	0	0	0	0	16842752	4040200	0
1	1	0	5010300	0	0	AddStash	61	0	0	0	0	0	0	16842752	5010300	0
1	1	0	4010021	4010024	0	CounterAttackII	0	0	0	0	0	0	0	16842752	4010020	0
1	1	0	4051401	4051404	4051407	Sharps	0	0	0	0	0	0	0	16842752	4051400	0
1	1	0	4040303	4040302	4040304	Lady-Valor	0	0	0	0	0	0	0	16842752	4040300	0
1	1	0	4030201	4030202	4030203	HP-Pack	61	0	0	0	0	0	0	16842752	4030200	0
1	1	0	4030301	0	0	HP-Pack(Small)	0	0	0	0	0	0	0	16842752	4030301	0
1	1	0	4030401	0	0	HP-Pack(Medium)	0	0	0	0	0	0	0	16842752	4030401	0
1	1	0	7416301	7416304	7416307	ThunderHead	0	0	0	0	0	0	0	16842752	7416300	0
1	1	0	8015001	8015004	8015007	ThunderJunior	703660145	703725681	703791217	703856753	703922289	113	0	16842752	8015000	0
1	1	0	3044401	3044404	3044407	ThunderWings	1285357690	1285423226	1285488762	1285554298	1285619834	122	0	16842752	3044400	0
